0,1
1900,22.06
1901,22.31
1902,21.89
1903,22.01
1904,22.46
1905,22.02
1906,22.51
1907,21.07
1908,22.13
1909,21.75
1910,22.12
1911,21.72
1912,21.09
1913,21.72
1914,21.74
1915,22.15
1916,21.24
1917,22.99
1918,22.74
1919,22.41
1920,21.92
1921,22.43
1922,22.63
1923,20.91
1924,22.19
1925,22.16
1926,23.06
1927,22.17
1928,22.17
1929,22.55
1930,22.31
1931,23.48
1932,22.11
1933,22.77
1934,22.34
1935,22.65
1936,23.18
1937,22.9
1938,22.62
1939,22.81
1940,23.15
1941,21.63
1942,22.65
1943,21.39
1944,21.06
1945,22.52
1946,22.38
1947,21.57
1948,21.55
1949,22.16
1950,22.42
1951,22.27
1952,21.9
1953,21.64
1954,21.68
1955,21.83
1956,21.93
1957,22.69
1958,22.93
1959,23.51
1960,23.71
1961,23.82
1962,22.19
1963,21.37
1964,22.07
1965,21.45
1966,22.5
1967,23.09
1968,22.3
1969,22.59
1970,23.09
1971,22.73
1972,23.05
1973,22.83
1974,22.78
1975,21.92
1976,21.75
1977,23.25
1978,22.59
1979,22.33
1980,21.98
1981,23.82
1982,21.81
1983,21.84
1984,23.03
1985,23.44
1986,23.03
1987,22.33
1988,23.09
1989,22.46
1990,22.94
1991,22.01
1992,22.88
1993,21.86
1994,23.58
1995,22.21
1996,24.0
1997,22.59
1998,22.77
1999,21.89
2000,23.18
2001,23.31
2002,23.53
2003,23.9
2004,23.24
2005,23.07
2006,24.18
2007,23.62
2008,23.74
2009,22.97
2010,22.72
2011,22.33
